uo_cod;descricao;sigla;uo_de_fundo;fundo_id
26405;Instituto Federal do Ceará;IFCE;não;
26406;Instituto Federal do Espírito Santo;IFES;não;
26407;Instituto Federal Goiano IF Goiano;;não;
26408;Instituto Federal do Maranhão;IFMA;não;
26409;Instituto Federal de Minas Gerais;IFMG;não;
26410;Instituto Federal do Norte de Minas Gerais;IFNMG;não;
26411;Instituto Federal do Sudeste de Minas Gerais;IFSudestMG;não;
26412;Instituto Federal do Sul de Minas Gerais IF Sul;MG;não;
26413;Instituto Federal do Triângulo Mineiro;IFTM;não;
26414;Instituto Federal do Mato Grosso;IFMT;não;
26415;Instituto Federal do Mato Grosso do Sul;IFMS;não;
26416;Instituto Federal do Pará;IFPA;não;
26417;Instituto Federal da Paraíba;IFPB;não;
26418;Instituto Federal de Pernambuco;IFPE;não;
26419;Instituto Federal do Rio Grande do Sul;IFRS;não;
26420;Instituto Federal Farroupilha;IFFar;não;
26421;Instituto Federal de Rondônia;IFRO;não;
26422;Instituto Federal Catarinense;IFC;não;
26423;Instituto Federal de Sergipe;IFSE;não;
26424;Instituto Federal do Tocantins;IFTO;não;
26425;Instituto Federal do Acre;IFAC;não;
26426;Instituto Federal do Amapá;IFAP;não;
26427;Instituto Federal da Bahia;IFBA;não;
26428;Instituto Federal de Brasília;IFB;não;
26429;Instituto Federal de Goiás;IFG;não;
26430;Instituto Federal do Sertão Pernambucano;IFSertãoPE;não;
26431;Instituto Federal do Piauí;IFPI;não;
26432;Instituto Federal do Paraná;IFPR;não;
26433;Instituto Federal do Rio de Janeiro;IFRJ;não;
26434;Instituto Federal Fluminense;IFF;não;
26435;Instituto Federal do Rio Grande do Norte;IFRN;não;
26436;Instituto Federal Sul-rio-grandense;IFSRS;não;
26437;Instituto Federal de Roraima;IFRR;não;
26438;Instituto Federal de Santa Catarina;IFSC;não;
26439;Instituto Federal de São Paulo;IFSP;não;
26440;Universidade Federal da Fronteira Sul;UFFS;não;
26441;Universidade Federal do Oeste do Pará;UFOPA;não;
26442;Universidade da Integração Internacional da Lusofonia Afro-Brasileira;UNILAB;não;
26443;Empresa Brasileira de Serviços Hospitalares;EBSERH;não;
26444;Maternidade Victor Ferreira do Amaral;HVFA;não;
26445;Hospital Universitário da UNIFESP;HU-UNIFESP;não;
26447;Universidade Federal do Oeste da Bahia;UFOB;não;
26448;Universidade Federal do Sul e Sudeste do Pará;UNIFESSPA;não;
26449;Universidade Federal do Cariri;UFCA;não;
26450;Universidade Federal do Sul da Bahia;UFESBA;não;
26451;Hospital Universitário da Universidade Federal do Vale do São Francisco;HU-UNIVASF;não;
26452;Universidade Federal de Catalão;UFCAT;não;
26453;Universidade Federal de Jataí;UFJ;não;
26454;Universidade Federal de Rondonópolis;UFR;não;
26455;Universidade Federal do Delta do Parnaíba;UFDPar;não;
26456;Universidade Federal do Agreste de Pernambuco Ufape;;não;
26457;Universidade Federal do Norte do Tocantins;UFNT;não;
28000;Ministério do Desenvolvimento, Indústria, Comércio e Serviços;MDICS;não;
28101;Ministério do Desenvolvimento, Indústria, Comércio e Serviços - Administração Direta;MDICS;não;
28202;Instituto Nacional de Metrologia, Qualidade e Tecnologia - Inmetro;INMETRO;não;
28203;Instituto Nacional da Propriedade Industrial - INPI;INPI;não;
28233;Superintendência da Zona Franca de Manaus - SUFRAMA;SUFRAMA;não;
28903;Fundo Nacional de Desenvolvimento;;sim;FND
28904;Fundo de Garantia para Promoção da Competitividade - FGPC;FGPC;sim;FGPC
29000;Defensoria Pública da União;DPU;não;
29101;Defensoria Pública da União;DPU;não;
30000;Ministério da Justiça e Segurança Pública;MJSP;não;
30101;Ministério da Justiça e Segurança Pública - Administração Direta;MJSP/AdmD;não;
30107;Departamento de Polícia Rodoviária Federal;DPRF;não;
30108;Departamento de Polícia Federal;DPF;não;
30211;Conselho Administrativo de Defesa Econômica (2);CADE;não;
30212;Agência Nacional de Proteção de Dados - ANPD;ANPD;não;
30905;Fundo de Defesa de Direitos Difusos;FDD;sim;FDD
30907;Fundo Penitenciário Nacional;FUNPEN;sim;FUNPEN
30911;Fundo Nacional de Segurança Pública;FNSP;sim;FNSP
30912;Fundo Nacional Antidrogas;FUNAD;sim;FNA
32000;Ministério de Minas e Energia;MME;não;
32101;Ministério de Minas e Energia - Administração Direta;MME/AdmD;não;
32202;Companhia de Pesquisa de Recursos Minerais;CPRM;não;
32265;Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (1);ANP;não;
32266;Agência Nacional de Energia Elétrica (1);ANEEL;não;
32314;Empresa de Pesquisa Energética;EPE;não;
32396;Agência Nacional de Mineração (1);ANM;não;
32398;Nuclebrás Equipamentos Pesados S.A. - NUCLEP;NUCLEP;não;
32401;Autoridade Nacional de Segurança Nuclear - ANSN;ANSN;não;
33000;Ministério da Previdência Social;MPS;não;
33101;Ministério da Previdência Social - Administração Direta;MPS;não;
33201;Instituto Nacional do Seguro Social;INSS;não;
33206;Superintendência Nacional de Previdência Complementar;PREVIC;não;
33904;Fundo do Regime Geral de Previdência Social;FRGPS;sim;FRGPS
34000;Ministério Público da União;MPU;não;
34101;Ministério Público Federal;MPF;não;
34102;Ministério Público Militar;MPM;não;
34103;Ministério Público do Distrito Federal e dos Territórios;MPDFT;não;
34104;Ministério Público do Trabalho;MPT;não;
34105;Escola Superior do Ministério Público da União;ESMPU;não;
35000;Ministério das Relações Exteriores;MRE;não;
35101;Ministério das Relações Exteriores - Administração Direta;MRE/AdmD;não;
35201;Fundação Alexandre de Gusmão;FUNAG;não;
36000;Ministério da Saúde;MS;não;
36201;Fundação Oswaldo Cruz;FIOCRUZ;não;
36210;Hospital Nossa Senhora da Conceição S.A.;HNSC;não;
36211;Fundação Nacional de Saúde;FUNASA;não;
36212;Agência Nacional de Vigilância Sanitária (1);ANVISA;não;
36213;Agência Nacional de Saúde Suplementar (1);ANS;não;
36901;Fundo Nacional de Saúde;FNS;sim;FNS
37000;Controladoria-Geral da União;CGU;não;
37101;Controladoria-Geral da União - Administração Direta;CGU;não;
39000;Ministério dos Transportes;MT;não;
39101;Ministério dos Transportes - Administração Direta;MT;não;
39207;VALEC - Engenharia, Construções e Ferrovias S.A.;VALEC;não;
39250;Agência Nacional de Transportes Terrestres (1);ANTT;não;
39252;Departamento Nacional de Infraestrutura de Transportes - DNIT;DNIT;não;
39905;Fundo Nacional de Segurança e Educação do Trânsito;FUNSET;sim;FUNSET
40000;Ministério do Trabalho e Emprego;MTE;não;
40101;Ministério do Trabalho e Emprego - Administração Direta;;não;
40203;Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho Fundacentro;;não;
40901;Fundo de Amparo ao Trabalhador;FAT;sim;FAT
41000;Ministério das Comunicações;MCom;não;
41101;Ministério das Comunicações - Administração Direta;MCom/AdmD;não;
41231;Agência Nacional de Telecomunicações (1);ANATEL;não;
41260;Telecomunicações Brasileiras S.A.;TELEBRAS;não;
41902;Fundo de Universalização dos Serviços de Telecomunicações;FUST;sim;FUST
41903;Fundo para o Desenvolvimento Tecnológico das Telecomunicações;FUNTTEL;sim;FUNTTEL
42000;Ministério da Cultura;MINC;não;
42101;Ministério da Cultura - Administração Direta;MINC;não;
42201;Fundação Casa de Rui Barbosa;FCRB;não;
42202;Fundação Biblioteca Nacional - BN;FBN;não;
42203;Fundação Cultural Palmares;FCP;não;
42204;Instituto do Patrimônio Histórico e Artístico Nacional;IPHAN;não;
42205;Fundação Nacional de Artes;FUNARTE;não;
42206;Agência Nacional do Cinema (1);ANCINE;não;
42207;Instituto Brasileiro de Museus;IBRAM;não;
42902;Fundo Nacional de Cultura;FNC;sim;FNC
44000;Ministério do Meio Ambiente e Mudança do Clima;;não;
44101;Ministério do Meio Ambiente e Mudança do Clima - Administração Direta;;não;
44102;Serviço Florestal Brasileiro - SFB;SFB;não;
44201;Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis;IBAMA;não;
44206;Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;JBRJ;não;
44207;Instituto Chico Mendes de Conservação da Biodiversidade;ICMBIO;não;
44901;Fundo Nacional de Meio Ambiente;FNMA;sim;FNMA
44902;Fundo Nacional sobre Mudança do Clima;FNMC;sim;FNMC
46000;Ministério da Gestão e da Inovação em Serviços Públicos;MGISP;não;
46101;Ministério da Gestão e da Inovação em Serviços Públicos- Administração Direta;MGISP;não;
46201;Fundação Escola Nacional de Administração Pública;ENAP;não;
47000;Ministério do Planejamento e Orçamento;MPO;não;
47101;Ministério do Planejamento e Orçamento - Administração Direta;MPO;não;
47204;Instituto de Pesquisa Econômica Aplicada;IPEA;não;
47205;Fundação Instituto Brasileiro de Geografia e Estatística;IBGE;não;
49000;Ministério do Desenvolvimento Agrário e Agricultura Familiar;MDA;não;
49101;Ministério do Desenvolvimento Agrário e Agricultura Familiar - Administração Direta;MDA;não;
49201;Instituto Nacional de Colonização e Reforma Agrária - INCRA;INCRA;não;
49202;Companhia Nacional de Abastecimento - CONAB;CONAB;não;
51000;Ministério do Esporte;MESP;não;
51101;Ministério do Esporte - Administração Direta;MESP;não;
52000;Ministério da Defesa;MD;não;
52101;Ministério da Defesa - Administração Direta;MD/AdmD;não;
52111;Comando da Aeronáutica;COMAER;não;
52121;Comando do Exército;COMAEX;não;
52131;Comando da Marinha;COMAR;não;
52133;Secretaria da Comissão Interministerial para os Recursos do Mar;SECIRM;não;
52211;Caixa de Financiamento Imobiliário da Aeronáutica;CFIAe;não;
52221;Indústria de Material Bélico do Brasil;IMBEL;não;
52222;Fundação Osório;FOSORIO;não;
52232;Caixa de Construções de Casas para o Pessoal da Marinha;CCCPM;não;
52233;Amazônia Azul Tecnologias de Defesa S.A.;AMAZUL;não;
52901;Fundo do Ministério da Defesa;FMD;sim;FMD
52902;Fundo de Administração do Hospital das Forças Armadas;FAHFA;sim;FAHFA
52903;Fundo do Serviço Militar;FSM;sim;FSM
52911;Fundo Aeronáutico;FAer;sim;FAER
52921;Fundo do Exército;FExc;sim;FEX
52931;Fundo Naval;FNav;sim;FNAV
52932;Fundo de Desenvolvimento do Ensino Profissional Marítimo;FDEPM;sim;FDEPM
53000;Ministério da Integração e do Desenvolvimento Regional;MDR;não;
53101;Ministério da Integração e do Desenvolvimento Regional - Administração Direta;MDR;não;
53201;Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba;CODEVASF;não;
53202;Superintendência do Desenvolvimento da Amazônia;SUDAM;não;
53203;Superintendência do Desenvolvimento do Nordeste;SUDENE;não;
53204;Departamento Nacional de Obras Contra as Secas;DNOCS;não;
53207;Superintendência do Desenvolvimento do Centro-Oeste;SUDECO;não;
53210;Agência Nacional de Águas e Saneamento Básico (1);ANA;não;
54000;Ministério do Turismo;MTur;não;
54101;Ministério do Turismo - Administração Direta;Mtur/AdmD;não;
55000;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;;não;
55101;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Adm. Direta;;não;
55901;Fundo Nacional de Assistência Social;FNAS;sim;FNAS
56000;Ministério das Cidades;MCID;não;
56101;Ministério das Cidades - Administração Direta;MCID;não;
56201;Empresa de Trens Urbanos de Porto Alegre S.A. - TRENSURB;TRENSURB;não;
56202;Companhia Brasileira de Trens Urbanos - CBTU;CBTU;não;
56902;Fundo Nacional de Habitação de Interesse Social - FNHIS;FNHIS;sim;FNHIS
58000;Ministério da Pesca e Aquicultura;MPA;não;
58101;Ministério da Pesca e Aquicultura- Administração Direta;MPA;não;
59000;Conselho Nacional do Ministério Público;CNMP;não;
59101;Conselho Nacional do Ministério Público;CNMP;não;
60000;Gabinete da Vice-Presidência da República;GabinVP;não;
60101;Gabinete da Vice-Presidência da República;GabinVP;não;
63000;Advocacia-Geral da União;AGU;não;
63101;Advocacia-Geral da União;AGU;não;
65000;Ministério das Mulheres;;não;
65101;Ministério das Mulheres - Administração Direta;;não;
67000;Ministério da Igualdade Racial;MIR;não;
67101;Ministério da Igualdade Racial - Administração Direta;MIR;não;
68000;Ministério de Portos e Aeroportos;MPA;não;
68101;Ministério de Portos e Aeroportos - Administração Direta;MPA;não;
68201;Agência Nacional de Transportes Aquaviários (1);ANTAQ;não;
68213;Agência Nacional de Aviação Civil (1);ANAC;não;
68901;Fundo da Marinha Mercante - FMM;FMM;sim;FMM
68902;Fundo Nacional de Aviação Civil - FNAC;FNAC;sim;FNAC
69000;Ministério do Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte;;não;
69101;Ministério do Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte – Administração direta;;não;
71000;Encargos Financeiros da União;EFU;não;
71101;Recursos sob Supervisão do Ministério da Fazenda;EFU-MF;não;
71102;Recursos sob Supervisão do Ministério do Planejamento e Orçamento;;não;
71103;Encargos Financeiros da União - Pagamento de Sentenças Judiciais;EFU-PSJ;não;
71104;Remuneração de Agentes Financeiros - Recursos sob Supervisão do Ministério da Fazenda;EFU-RAF;não;
71902;Fundo Soberano do Brasil - Recursos sob Supervisão do Ministério da Fazenda;;sim;FSB
71903;Fundo Social - FS;;sim;FSOCIAL
71904;Fundo de Estabilidade do Seguro Rural - Recursos sob Supervisão do Ministério da Fazenda;FESR;sim;FESR
71905;Fundo de Garantia à Exportação - Recursos sob Supervisão do Ministério da Fazenda;FGE;sim;FGE
71906;Fundo Especial de Financiamento de Campanhas;FEFC;sim;FEFC
73000;Transferências a Estados, Distrito Federal e Municípios;;não;
73101;Recursos sob Supervisão do Ministério da Fazenda;;não;
73107;Recursos sob Supervisão do Ministério da Educação;;não;
73108;Transferências Constitucionais - Recursos sob Supervisão do Ministério da Fazenda;;não;
73111;Recursos sob Supervisão do Ministério do Meio Ambiente e Mudança do Clima;;não;
73113;Recursos sob Supervisão do Ministério da Gestão e Inovação em Serviços Públicos;;não;
73116;Recursos sob Supervisão da Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP;;não;
73118;Recursos sob Supervisão da Agência Nacional de Energia Elétrica - ANEEL;;não;
73119;Recursos sob Supervisão da Agência Nacional de Mineração - ANM;;não;
73120;Recursos sob Supervisão do Fundo Nacional de Cultura;;sim;FNC
73901;Fundo Constitucional do Distrito Federal;FCDF;sim;FCDF
