"exercicio";"uo_cod";"uo_desc";"fonte_cod";"fonte_desc";"rp_cod";"rp_desc";"gnd_cod";"gnd_desc";"ploa";"loa";"loa_mais_credito";"empenhado";"liquidado";"pago"
2026;"42902";"Fundo Nacional de Cultura";"1000";"Recursos Livres da União";"6";"Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;116222801;121912059;83408001;57823987;55403987
2026;"55901";"Fundo Nacional de Assistência Social";"1000";"Recursos Livres da União";"8";"Primária discricionária, decorrente de emendas de comissão permanente do SF, da CD e de comissão mista permanente do CN, considerada no cálculo do RP";"4";"Investimentos";0;1.15e+08;5.3e+07;41305858;28156308;28156308
2026;"81901";"Fundo Nacional para a Criança e o Adolescente - FNCA";"1096";"Doações Nacionais";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;5499999;3400000;0;0
2026;"52911";"Fundo Aeronáutico";"1052";"Recursos Livres da UO";"1";"Primária obrigatória, considerada no cálculo do RP";"4";"Investimentos";1803910569;1803910569;1353910569;1172297804;548294998;510077948
2026;"74901";"Recursos sob Supervisão do Fundo de Defesa da Economia Cafeeira/Funcafé - M. Agric. e Pec.";"3050";"Recursos Próprios Livres da UO";"0";"Financeira";"5";"Inversões Financeiras";0;0;432326558;432326558;347274058;347274058
2026;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1112";"CT-Amazônia e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";"2";"Primária discricionária, considerada no cálculo do RP";"4";"Investimentos";0;0;1177600;0;0;0
2026;"26298";"Fundo Nacional de Desenvolvimento da Educação";"1056";"Benefícios do Regime Próprio de Previdência Social da União";"1";"Primária obrigatória, considerada no cálculo do RP";"1";"Pessoal e Encargos Sociais";46955853;46955853;46955853;46955853;34007208;32323371
2026;"52931";"Fundo Naval";"1063";"Rede de Balizamento Marítimo, Fluvial e Lacustre";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";254449316;254449316;251405221;238874824;100946766;86894408
2026;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"3109";"CT-Hidro e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";"0";"Financeira";"5";"Inversões Financeiras";0;0;8380932;0;0;0
2026;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1102";"CT-Verde Amarelo (Programa de Inovação para Competitividade) e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais, Equalização de Taxas de Juros e Investimentos em Empresas Inovadoras";"2";"Primária discricionária, considerada no cálculo do RP";"5";"Inversões Financeiras";5e+07;5e+07;5e+07;5759758;5759758;5209758
2026;"52902";"Fundo de Administração do Hospital das Forças Armadas";"1001";"Recursos Livres da Seguridade Social";"1";"Primária obrigatória, considerada no cálculo do RP";"1";"Pessoal e Encargos Sociais";125417589;125417589;119810264;119810264;87298729;76099606
2026;"36901";"Fundo Nacional de Saúde";"1000";"Recursos Livres da União";"3";"Primária discricionária, PAC, considerada no cálculo do RP";"4";"Investimentos";1852858550;1717114233;615817309;137645921;97721591;97721591
2026;"52931";"Fundo Naval";"3051";"Recursos Próprios da UO para Aplicação Exclusiva em Despesas de Capital";"2";"Primária discricionária, considerada no cálculo do RP";"4";"Investimentos";0;0;2455669;653404;167366;8844
2026;"73901";"Fundo Constitucional do Distrito Federal - FCDF";"1000";"Recursos Livres da União";"0";"Financeira";"1";"Pessoal e Encargos Sociais";339098098;339098098;365171513;236357935;230513229;208075558
2026;"81902";"Fundo Nacional do Idoso - FNI";"1000";"Recursos Livres da União";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";33634;133634;133634;113919;113919;113919
2026;"30907";"Fundo Penitenciário Nacional";"1050";"Recursos Próprios Livres da UO";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";75976718;75976718;3096029;0;0;0
2026;"20927";"Fundo de Imprensa Nacional";"1050";"Recursos Próprios Livres da UO";"0";"Financeira";"1";"Pessoal e Encargos Sociais";1268916;1268916;1268916;1050000;537380;537380
2026;"40901";"Fundo de Amparo ao Trabalhador";"1003";"Recursos da UO para Aplicação na Seguridade Social";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";103974092;103974092;103974092;8.6e+07;8.6e+07;8.6e+07
